Customer_ID,Age,Annual_Income,Spending_Score,Purchase_Frequency,Transaction_Amount,Cluster,Cluster_Selected
8270,31.0,75851.59221162635,77.10426826887134,17.0,129.72418999798637,1,1
1860,48.0,44460.18376448929,61.34907552134581,25.0,91.4792649887382,1,1
6390,17.0,43677.75560464119,22.589955636015365,9.0,130.57381164242392,3,0
6191,34.0,48666.812544226654,82.06952504335648,0.0,72.39584567729152,2,3
6734,44.0,46080.33402862866,65.07691525280947,3.0,156.39907672471216,3,0
7265,41.0,23764.20705102324,22.90494006859601,28.0,63.79226905232831,0,2
1466,45.0,58624.47792752438,48.58380052597637,16.0,87.57954949404291,2,2
5426,55.0,37693.67772963625,99.72342674403794,16.0,58.02928405031184,2,3
6578,51.0,45142.72981212688,33.50960406895927,4.0,82.82589920165697,2,0
9322,23.0,76390.09302592745,12.539500862314242,22.0,77.10182500151367,0,2
2685,18.0,64167.31372771045,3.1450743012326328,2.0,-0.8197543522371973,0,3
1769,38.0,74182.97476112415,19.278603358882528,6.0,101.66908998731252,3,0
7949,21.0,39844.80922043848,19.509664300307577,4.0,100.17791964059137,3,0
3433,15.0,60950.54020230135,85.94877604176524,9.0,34.52469028833481,2,3
6311,38.0,56048.9375400602,16.45932017055312,26.0,65.77390897851328,0,2
6051,40.0,49180.6499941269,86.40244324596462,23.0,118.08106383121202,1,1
7420,52.0,38741.04706605861,9.58493433587082,6.0,11.302615884261613,2,2
2184,42.0,66269.06542184952,90.75778568521274,16.0,91.9659225101502,1,1
5555,54.0,42288.30465284558,26.378996690212407,28.0,157.27885121184732,0,2
4385,38.0,52044.24464080907,61.53830813703011,16.0,78.3786504439606,2,3
7396,23.0,63696.70203181906,16.812991293102385,6.0,173.12102919778346,3,0
9666,43.0,35349.090860283184,39.61550753568704,5.0,153.7907881326784,3,0
3558,48.0,33670.47791225558,9.491012663661493,8.0,118.20159184382275,3,0
8849,38.0,87741.58155809224,58.37329222142739,7.0,98.7927276424402,2,3
3047,49.0,37099.08128213232,35.24187116629061,28.0,100.33651751709654,0,2
3747,33.0,74251.03049724785,85.36285827760382,13.0,124.49643035334094,1,1
1189,40.0,49204.949844457,18.99983135162355,21.0,199.9485459974444,3,0
3734,33.0,43611.86939852347,28.718818377709862,5.0,125.04353718067524,3,0
4005,58.0,45100.27761287398,18.548213060352055,8.0,174.42356089279568,3,0
5658,43.0,49066.746467966,56.81845524336698,27.0,42.04625371154791,0,2
2899,23.0,70068.69638864585,12.06297119248623,19.0,72.98725201473215,0,2
8734,53.0,61341.51105780993,19.74634352082463,24.0,100.83064631515794,0,2
2267,27.0,46825.78682574085,68.17050440075919,10.0,167.17614056677468,3,0
2528,35.0,22012.566813738147,8.36703812705808,10.0,10.423178874013743,0,2
4556,39.0,50309.26977758616,74.57320353735348,7.0,235.77041075378156,3,0
4890,40.0,51992.53914313239,11.32901541935695,2.0,99.98514067839668,3,0
9838,39.0,68877.75301264424,58.96338719879662,10.0,158.8999223406252,3,0
6393,23.0,27948.106357220197,99.7831361027119,3.0,99.19766260244316,2,3
9792,39.0,42597.295564355605,18.21539777211106,22.0,59.21618716728513,0,2
9433,46.0,42123.960165288,26.84754554796512,2.0,185.66697771372677,3,0
8513,45.0,49161.81868265924,89.94423874491622,12.0,90.33419113890773,2,3
3612,21.0,51365.65956047903,63.00236691592291,18.0,63.75070066508223,0,3
8041,28.0,56576.14078308892,49.760598581626766,7.0,119.2323581382779,3,0
7235,24.0,21577.111212428597,56.7078046297336,20.0,129.80360720687202,1,1
6486,38.0,52594.66720279865,30.25403911919389,27.0,116.74188373919372,0,2
8099,19.0,53684.751906715006,85.67685641323943,20.0,120.81416269778984,1,1
1775,23.0,51127.26839312029,74.78163347831935,23.0,119.03543331529606,1,1
9226,28.0,47335.75688339973,64.60417680105763,21.0,161.65675484074063,1,1
4152,17.0,9570.548328893288,93.24251722448632,20.0,102.83013807090876,1,1
2585,34.0,58522.16859010197,58.23297519372487,0.0,67.5916442520468,2,3
4943,13.0,35401.92341329109,51.67583374598636,20.0,136.12184131961973,1,1
8555,39.0,59205.65739386915,97.5936468310668,7.0,-23.22421680534113,2,3
4073,31.0,68752.17225170179,21.39539721337228,29.0,130.10073967067214,0,2
2021,28.0,24858.45269131137,15.054849146572757,8.0,175.375559808332,3,0
4843,34.0,58748.88891449795,17.06600408384456,5.0,138.1058008649252,3,0
8989,34.0,31466.44980036112,98.9547587936034,10.0,20.563076380972433,2,3
7873,40.0,49364.0388755046,65.57285443487173,28.0,172.12167312882127,1,1
6675,48.0,48110.82251175104,31.286365306269804,28.0,72.38592514067464,0,2
1161,45.0,61346.27076005607,25.6488026305862,9.0,109.96774922124408,3,0
5297,57.0,59118.81726644967,6.60722041897651,2.0,164.52611184356005,3,0
1995,41.0,53931.7443315476,14.062785541696755,7.0,69.10689105548467,3,0
8629,36.0,25349.632687529207,90.90908555234188,28.0,106.94743008421358,1,1
2016,30.0,12277.820557666462,74.98676501123938,4.0,34.78843753988521,2,3
8869,30.0,63684.23472594055,94.21441371589567,1.0,90.6883345947689,2,3
7439,40.0,61197.02440829171,42.94936270906567,15.0,41.66079941815134,2,2
8892,25.0,35037.79483641463,60.52248736005981,0.0,124.1657625701201,3,0
7863,37.0,55210.18583929465,48.88345464090006,26.0,27.4850673884296,0,2
8916,34.0,46860.92246202917,88.25715425229419,23.0,95.51609318869288,1,1
9529,27.0,66297.37516519516,99.1468068301085,1.0,71.64551938052387,2,3
1878,24.0,51253.77434325191,93.34474555738656,26.0,64.2127734880766,1,1
5887,60.0,63505.8534988881,60.20752893047937,2.0,100.17791964059137,2,3
